candidate_id,num_dof_completed,period_pass_count,max_period_error_pct,all_six_period_under_limit,start_amplitude_pass_count,max_start_amplitude_error,all_six_start_amplitude_under_limit,j_total,j_shape_total,start_amplitude_error_total,score_total,rank,decision,reason
SURGE_AF0_N190K_IC178_M105B_BQ090_T600_0706,1,0,5.1905799,false,1,0.11171052,false,0.03304868,0.63728612,0.11171052,0.06097631,108,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_SURGE_0704055611_F120_I074,1,0,7.2881615,false,1,0.10296633,false,0.035572848,0.72736281,0.10296633,0.06131443,109,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_SWAY_0617142124_F100_I078,1,0,3.8932149,false,1,0.053004983,false,0.048307061,1.1506611,0.053004983,0.061558307,110,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_YAW"
BQIC_SURGE_0704055611_F110_I074,1,0,12.015624,false,1,0.11623338,false,0.032718051,0.74499894,0.11623338,0.061776396,111,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
BQIC_SURGE_0612141252_F100_I080,1,0,7.5955935,false,1,0.019874949,false,0.057172839,1.2242884,0.019874949,0.062141576,112,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
YAW_EQIC83_0704231051,1,1,0.09778511,false,1,0.17318439,false,0.018854138,0.2617638,0.17318439,0.062150235,113,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_SWAY"
HEAVE_BQ2X_0705235850,1,1,0.77671795,false,1,0.085232964,false,0.041211883,0.5991961,0.085232964,0.062520124,114,HOLD,"missing/failed DOFs: FD_PITCH,FD_ROLL,FD_SURGE,FD_SWAY,FD_YAW"
SURGE_AF0_N180K_IC177_T600_0706,1,0,4.5608492,false,1,0.11231357,false,0.034443154,0.77035616,0.11231357,0.062521546,115,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SURGE_AF0_N650K_IC205_T600_0706,1,0,7.1397746,false,1,0.080959389,false,0.042343662,0.92039191,0.080959389,0.062583509,116,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
YAW_EQIC87_CL105_0704224441,1,1,2.4773351,false,1,0.13942764,false,0.027838185,0.79392188,0.13942764,0.062695095,117,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SURGE,FD_SWAY"
SURGE_AF0_N190K_IC178_M1085_T600_0706,1,1,0.80181662,false,1,0.093877535,false,0.039240463,0.85595228,0.093877535,0.062709847,118,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
SURGE_SG1019_EA099_07040831,1,0,6.0449926,false,1,0.11679335,false,0.033557589,0.85517081,0.11679335,0.062755927,119,HOLD,"missing/failed DOFs: FD_HEAVE,FD_PITCH,FD_ROLL,FD_SWAY,FD_YAW"
