time,run_id,candidate_id,dof,event,pid,status,notes
2026-06-11T15:13:03+00:00,RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,FD_YAW,start,,RUNNING,
2026-06-11T15:20:26+00:00,RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,FD_YAW,end,384728,SUCCESS,
2026-06-11T15:23:01+00:00,RUN_0002_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,FD_PITCH,start,,RUNNING,
2026-06-11T15:28:33+00:00,RUN_0002_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733,FD_PITCH,end,484376,SUCCESS,
2026-06-11T15:47:07+00:00,RUN_0001_FD_SURGE_BQIC_SURGE_0611154707_F100_I110,BQIC_SURGE_0611154707_F100_I110,FD_SURGE,start,,RUNNING,
2026-06-11T15:58:35+00:00,RUN_0001_FD_SURGE_BQIC_SURGE_0611154707_F100_I110,BQIC_SURGE_0611154707_F100_I110,FD_SURGE,end,441960,SUCCESS,TMax=900; ElastoDyn initial_conditions; HydroDyn edits=1
2026-06-11T15:58:35+00:00,RUN_0001_FD_SURGE_BQIC_SURGE_0611154707_F100_I120,BQIC_SURGE_0611154707_F100_I120,FD_SURGE,start,,RUNNING,
2026-06-11T15:59:19+00:00,RUN_0001_FD_SURGE_BQIC_SURGE_0611155919_F100_I102,BQIC_SURGE_0611155919_F100_I102,FD_SURGE,start,,RUNNING,
2026-06-11T16:09:20+00:00,RUN_0001_FD_SURGE_BQIC_SURGE_0611155919_F100_I102,BQIC_SURGE_0611155919_F100_I102,FD_SURGE,end,250652,SUCCESS,TMax=900; ElastoDyn initial_conditions; HydroDyn edits=1
2026-06-11T16:12:37+00:00,RUN_0001_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,FD_SURGE,start,,RUNNING,
2026-06-11T16:21:33+00:00,RUN_0001_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,FD_SURGE,end,316760,SUCCESS,
2026-06-11T16:21:33+00:00,RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,FD_SWAY,start,,RUNNING,
2026-06-11T16:30:09+00:00,RUN_0001_FD_SWAY_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,FD_SWAY,end,477280,SUCCESS,
2026-06-11T16:30:10+00:00,RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,FD_HEAVE,start,,RUNNING,
2026-06-11T16:33:57+00:00,RUN_0001_FD_HEAVE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,FD_HEAVE,end,129372,SUCCESS,
2026-06-11T16:33:57+00:00,RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,FD_ROLL,start,,RUNNING,
2026-06-11T16:38:48+00:00,RUN_0001_FD_ROLL_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,FD_ROLL,end,438264,SUCCESS,
2026-06-11T16:38:49+00:00,RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,FD_PITCH,start,,RUNNING,
2026-06-11T16:43:44+00:00,RUN_0001_FD_PITCH_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,FD_PITCH,end,441260,SUCCESS,
2026-06-11T16:43:44+00:00,RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,FD_YAW,start,,RUNNING,
2026-06-11T16:50:10+00:00,RUN_0001_FD_YAW_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,FD_YAW,end,231684,SUCCESS,
2026-06-11T16:52:58+00:00,RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,FD_SURGE,start,,RUNNING,
2026-06-11T17:01:29+00:00,RUN_0002_FD_SURGE_RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,RBQ90_PBL255_IMPORTED_PACKAGE_PERIOD_TUNED_20225Z0000_BQIC_0611143733_BQIC_0611161228,FD_SURGE,end,62888,SUCCESS,
