candidate_id,baseline_candidate_id,candidate_parent_id,lineage_status,target_dofs,decision,improved_targets,regressed_targets,unchanged_targets,reason
YAW_EQIC_0704222630,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_YAW,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_YAW,,regressed/mixed: FD_YAW
YAW_EQIC87_0704223546,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_YAW,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_YAW,,regressed/mixed: FD_YAW
YAW_EQIC87_CL105_0704224441,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_YAW,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_YAW,,regressed/mixed: FD_YAW
YAW_EQIC87_CL105_BQ2X_0704225331,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_YAW,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_YAW,,regressed/mixed: FD_YAW
YAW_EQIC87_CL105_BL100_0704230212,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_YAW,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_YAW,,regressed/mixed: FD_YAW
YAW_EQIC83_0704231051,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_YAW,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_YAW,,regressed/mixed: FD_YAW
SURGE_EQIC90_0704231943,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
SURGE_UL0995_0705100839,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,OBJECTIVE_REVIEW_PASS,FD_SURGE,,,all target DOFs improved: FD_SURGE
SURGE_UL0995_FULL_0705101534,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
SURGE_UL1005_FULL_0705102530,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
SURGE_UL12_1005_FULL_0705205646,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,,FD_SURGE,unchanged: FD_SURGE
SURGE_UL12_1005_FIX_0705210753,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
SURGE_EA098_FULL_0705211940,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
SURGE_EA102_FULL_0705220000,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
SURGE_UL1001_FULL_0705222420,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
SURGE_UL1002_FULL_0705230510,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
SURGE_UL1002_CLN10K_0705232100,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
SURGE_UL1002_BL600K_0705234300,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
